Complexity metrics,sexta, 7 nov. 2025 19:17:00 WET
Method,CogC,ev(G),iv(G),v(G)
mindustry.type.weather.RainWeather.drawUnder(WeatherState),0,1,1,1
mindustry.type.weather.RainWeather.load(),1,1,2,2
mindustry.type.weather.SolarFlare.SolarFlare(String),0,1,1,1
mindustry.ui.Bar.Bar(),0,1,1,1
"mindustry.ui.Bar.Bar(Prov<CharSequence>, Prov<Color>, Floatp)",0,1,1,1
"mindustry.ui.Bar.Bar(String, Color, Floatp)",0,1,1,1
mindustry.ui.Bar.blink(Color),0,1,1,1
mindustry.ui.Bar.draw(),13,2,4,12
mindustry.ui.Bar.flash(),0,1,1,1
"mindustry.ui.Bar.outline(Color, float)",0,1,1,1
mindustry.ui.Bar.reset(float),0,1,1,1
"mindustry.ui.Bar.set(Prov<String>, Floatp, Color)",0,1,1,1
mindustry.ui.Bar.snap(),0,1,1,1
mindustry.ui.BorderImage.BorderImage(),0,1,1,1
mindustry.ui.BorderImage.BorderImage(Drawable),0,1,1,1
mindustry.ui.BorderImage.BorderImage(Texture),0,1,1,1
"mindustry.ui.BorderImage.BorderImage(Texture, float)",0,1,1,1
"mindustry.ui.BorderImage.BorderImage(TextureRegion, float)",0,1,1,1
mindustry.ui.BorderImage.border(Color),0,1,1,1
mindustry.ui.BorderImage.draw(),0,1,1,1
mindustry.ui.CoreItemsDisplay.CoreItemsDisplay(),0,1,1,1
mindustry.ui.CoreItemsDisplay.rebuild(),19,1,10,10
mindustry.ui.CoreItemsDisplay.resetUsed(),0,1,1,1
mindustry.ui.Displayable.displayable(),0,1,1,1
mindustry.ui.Fonts.cursorScale(),0,1,1,1
mindustry.ui.Fonts.fontParameter(),0,1,1,1
"mindustry.ui.Fonts.getGlyph(Font, char)",1,1,2,2
mindustry.ui.Fonts.getLargeIcon(String),2,2,2,2
mindustry.ui.Fonts.getUnicode(String),0,1,1,1
mindustry.ui.Fonts.getUnicodeStr(String),0,1,1,1
mindustry.ui.Fonts.hasUnicodeStr(String),0,1,1,1
mindustry.ui.Fonts.loadContentIcons(),5,3,3,5
mindustry.ui.Fonts.loadContentIconsHeadless(),3,1,3,4
mindustry.ui.Fonts.loadDefaultFont(),6,1,4,5
mindustry.ui.Fonts.loadFonts(),0,1,1,1
mindustry.ui.Fonts.loadSystemCursors(),0,1,1,1
mindustry.ui.Fonts.mergeFontAtlas(TextureAtlas),1,1,2,2
"mindustry.ui.Fonts.registerIcon(String, String, int, TextureRegion)",0,1,1,1
mindustry.ui.Fonts.unicodeToName(int),0,1,1,1
"mindustry.ui.GridImage.GridImage(int, int)",0,1,1,1
mindustry.ui.GridImage.draw(),4,1,3,4
"mindustry.ui.GridImage.setImageSize(int, int)",0,1,1,1
mindustry.ui.IntFormat.IntFormat(String),0,1,1,1
"mindustry.ui.IntFormat.IntFormat(String, Func<Integer, String>)",0,1,1,1
mindustry.ui.IntFormat.get(int),1,1,2,2
"mindustry.ui.IntFormat.get(int, int)",2,1,2,3
mindustry.ui.ItemsDisplay.ItemsDisplay(),0,1,1,1
mindustry.ui.ItemsDisplay.rebuild(ItemSeq),0,1,1,1
"mindustry.ui.ItemsDisplay.rebuild(ItemSeq, boolean[])",19,4,3,7
"mindustry.ui.Links.LinkEntry.LinkEntry(String, String, Drawable, Color)",0,1,1,1
mindustry.ui.Links.createLinks(),0,1,1,1
mindustry.ui.Links.getLinks(),1,1,2,2
mindustry.ui.Menus.announce(String),1,2,1,2
"mindustry.ui.Menus.followUpMenu(int, String, String, String[][])",3,1,1,4
mindustry.ui.Menus.hideFollowUpMenu(int),0,1,1,1
mindustry.ui.Menus.hideHudText(),0,1,1,1
mindustry.ui.Menus.infoMessage(String),1,2,1,2
"mindustry.ui.Menus.infoPopup(String, float, int, int, int, int, int)",1,2,1,2
"mindustry.ui.Menus.infoPopupReliable(String, float, int, int, int, int, int)",1,2,1,2
"mindustry.ui.Menus.infoToast(String, float)",1,2,1,2
"mindustry.ui.Menus.label(String, float, float, float)",1,2,1,2
"mindustry.ui.Menus.labelReliable(String, float, float, float)",0,1,1,1
"mindustry.ui.Menus.menu(int, String, String, String[][])",3,1,1,4
"mindustry.ui.Menus.menuChoose(Player, int, int)",4,1,3,4
mindustry.ui.Menus.openURI(String),1,2,1,2
mindustry.ui.Menus.registerMenu(MenuListener),0,1,1,1
mindustry.ui.Menus.registerTextInput(TextInputListener),0,1,1,1
mindustry.ui.Menus.removeWorldLabel(int),1,1,2,2
mindustry.ui.Menus.setHudText(String),1,2,1,2
mindustry.ui.Menus.setHudTextReliable(String),0,1,1,1
"mindustry.ui.Menus.textInput(int, String, String, int, String, boolean)",0,1,1,1
"mindustry.ui.Menus.textInput(int, String, String, int, String, boolean, boolean)",3,1,1,4
"mindustry.ui.Menus.textInputResult(Player, int, String)",4,1,3,4
"mindustry.ui.Menus.warningToast(int, String)",2,2,2,3
mindustry.ui.Minimap.Minimap(),19,4,8,11
"mindustry.ui.MobileButton.MobileButton(Drawable, String, Runnable)",0,1,1,1
mindustry.ui.MultiReqImage.act(float),4,1,3,3
mindustry.ui.MultiReqImage.add(ReqImage),0,1,1,1
"mindustry.ui.ReqImage.ReqImage(Element, Boolp)",0,1,1,1
"mindustry.ui.ReqImage.ReqImage(TextureRegion, Boolp)",0,1,1,1
mindustry.ui.ReqImage.valid(),0,1,1,1
mindustry.ui.Styles.createFlatDown(),0,1,1,1
mindustry.ui.Styles.load(),0,1,1,1
mindustry.ui.WarningBar.draw(),1,1,2,2
mindustry.ui.dialogs.AboutDialog.AboutDialog(),0,1,1,1
mindustry.ui.dialogs.AboutDialog.setup(),13,3,5,9
mindustry.ui.dialogs.AboutDialog.showCredits(),6,1,4,4
mindustry.ui.dialogs.AdminsDialog.AdminsDialog(),0,1,1,1
mindustry.ui.dialogs.AdminsDialog.setup(),8,1,6,6
mindustry.ui.dialogs.BansDialog.BansDialog(),0,1,1,1
mindustry.ui.dialogs.BansDialog.setup(),2,1,3,3
mindustry.ui.dialogs.BaseDialog.BaseDialog(String),0,1,1,1
"mindustry.ui.dialogs.BaseDialog.BaseDialog(String, DialogStyle)",6,1,8,8
mindustry.ui.dialogs.BaseDialog.addCloseButton(),0,1,1,1
mindustry.ui.dialogs.BaseDialog.addCloseButton(float),0,1,1,1
mindustry.ui.dialogs.BaseDialog.addCloseListener(),0,1,1,1
mindustry.ui.dialogs.BaseDialog.makeButtonOverlay(),0,1,1,1
mindustry.ui.dialogs.BaseDialog.onResize(Runnable),3,1,3,3
mindustry.ui.dialogs.CampaignCompleteDialog.CampaignCompleteDialog(),0,1,1,1
mindustry.ui.dialogs.CampaignCompleteDialog.show(Planet),2,1,1,2
mindustry.ui.dialogs.CampaignRulesDialog.CampaignRulesDialog(),6,1,5,5
"mindustry.ui.dialogs.CampaignRulesDialog.check(String, Boolc, Boolp)",0,1,1,1
"mindustry.ui.dialogs.CampaignRulesDialog.check(String, Boolc, Boolp, Boolp)",1,1,2,2
mindustry.ui.dialogs.CampaignRulesDialog.rebuild(),16,1,7,8
mindustry.ui.dialogs.CampaignRulesDialog.show(Planet),0,1,1,1
mindustry.ui.dialogs.ColorPicker.ColorPicker(),0,1,1,1
"mindustry.ui.dialogs.ColorPicker.show(Color, Cons<Color>)",0,1,1,1
"mindustry.ui.dialogs.ColorPicker.show(Color, boolean, Cons<Color>)",12,1,4,6
mindustry.ui.dialogs.ColorPicker.updateColor(),0,1,1,1
mindustry.ui.dialogs.ColorPicker.updateColor(boolean),4,1,3,4
mindustry.ui.dialogs.ContentInfoDialog.ContentInfoDialog(),2,1,2,2
mindustry.ui.dialogs.ContentInfoDialog.show(UnlockableContent),29,3,12,17
mindustry.ui.dialogs.CustomGameDialog.CustomGameDialog(),0,1,1,1
mindustry.ui.dialogs.CustomGameDialog.showMap(Map),0,1,1,1
mindustry.ui.dialogs.CustomRulesDialog.CustomRulesDialog(),0,1,1,1
mindustry.ui.dialogs.CustomRulesDialog.CustomRulesDialog(boolean),5,1,3,3
"mindustry.ui.dialogs.CustomRulesDialog.addToMain(Table, String)",1,1,2,2
mindustry.ui.dialogs.CustomRulesDialog.category(String),0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.check(String, Boolc, Boolp)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.check(String, Boolc, Boolp, Boolp)",1,2,1,2
"mindustry.ui.dialogs.CustomRulesDialog.field(Table, float, Floatc)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.number(String, Floatc, Floatp)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.number(String, Floatc, Floatp, Boolp)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.number(String, Floatc, Floatp, float, float)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.number(String, boolean, Floatc, Floatp, Boolp)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.number(String, boolean, Floatc, Floatp, Boolp, float, float)",7,2,4,6
"mindustry.ui.dialogs.CustomRulesDialog.numberi(String, Intc, Intp, Boolp, int, int)",5,2,2,4
"mindustry.ui.dialogs.CustomRulesDialog.numberi(String, Intc, Intp, int, int)",0,1,1,1
mindustry.ui.dialogs.CustomRulesDialog.refresh(),0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.ruleInfo(Cell<?>, String)",5,1,4,4
mindustry.ui.dialogs.CustomRulesDialog.setup(),0,1,1,1
mindustry.ui.dialogs.CustomRulesDialog.setupMain(),33,1,19,27
"mindustry.ui.dialogs.CustomRulesDialog.show(Rules, Prov<Rules>)",0,1,1,1
"mindustry.ui.dialogs.CustomRulesDialog.team(String, Cons<Team>, Prov<Team>)",3,2,2,3
mindustry.ui.dialogs.CustomRulesDialog.weatherDialog(),18,3,5,6
mindustry.ui.dialogs.DatabaseDialog.DatabaseDialog(),5,1,5,6
mindustry.ui.dialogs.DatabaseDialog.checkTabList(),10,1,5,5
mindustry.ui.dialogs.DatabaseDialog.rebuild(),79,3,26,31
mindustry.ui.dialogs.DatabaseDialog.unlocked(UnlockableContent),2,1,3,3
mindustry.ui.dialogs.DiscordDialog.DiscordDialog(),2,1,2,2
mindustry.ui.dialogs.EditorMapsDialog.EditorMapsDialog(),0,1,1,1
mindustry.ui.dialogs.EditorMapsDialog.buildButtons(),28,3,6,8
mindustry.ui.dialogs.EditorMapsDialog.showMap(Map),17,1,6,13
"mindustry.ui.dialogs.EffectsDialog.BoundsBatch.draw(Texture, float[], int, int)",1,1,2,2
"mindustry.ui.dialogs.EffectsDialog.BoundsBatch.draw(TextureRegion, float, float, float, float, float, float, ...)",0,1,1,1
mindustry.ui.dialogs.EffectsDialog.BoundsBatch.flush(),0,1,1,1
mindustry.ui.dialogs.EffectsDialog.BoundsBatch.max(float...),3,3,2,3
mindustry.ui.dialogs.EffectsDialog.BoundsBatch.reset(),0,1,1,1
"mindustry.ui.dialogs.EffectsDialog.EffectCell.EffectCell(EffectEntry, ClickListener)",0,1,1,1
mindustry.ui.dialogs.EffectsDialog.EffectCell.act(float),1,1,1,2
mindustry.ui.dialogs.EffectsDialog.EffectCell.draw(),5,1,4,5
mindustry.ui.dialogs.EffectsDialog.EffectsDialog(),0,1,1,1
mindustry.ui.dialogs.EffectsDialog.EffectsDialog(Iterable<EffectEntry>),0,1,1,1
mindustry.ui.dialogs.EffectsDialog.calculateSize(EffectEntry),5,2,3,5
mindustry.ui.dialogs.EffectsDialog.getData(Class<?>),1,2,1,2
mindustry.ui.dialogs.EffectsDialog.setup(),13,3,4,5
mindustry.ui.dialogs.EffectsDialog.show(),0,1,1,1
mindustry.ui.dialogs.EffectsDialog.show(Cons<EffectEntry>),0,1,1,1
mindustry.ui.dialogs.EffectsDialog.withAllEffects(),0,1,1,1
"mindustry.ui.dialogs.FileChooser.FileChooser(String, Boolf<Fi>, boolean, Cons<Fi>)",0,1,1,1
mindustry.ui.dialogs.FileChooser.FileHistory.FileHistory(),0,1,1,1
mindustry.ui.dialogs.FileChooser.FileHistory.back(),1,2,1,2
mindustry.ui.dialogs.FileChooser.FileHistory.canBack(),1,1,1,2
mindustry.ui.dialogs.FileChooser.FileHistory.canForward(),0,1,1,1
mindustry.ui.dialogs.FileChooser.FileHistory.forward(),1,2,1,2
mindustry.ui.dialogs.FileChooser.FileHistory.push(Fi),1,1,2,2
mindustry.ui.dialogs.FileChooser.getFileNames(),6,3,3,5
mindustry.ui.dialogs.FileChooser.getLastDirectory(),1,1,1,2
mindustry.ui.dialogs.FileChooser.setLastDirectory(Fi),0,1,1,1
mindustry.ui.dialogs.FileChooser.setupWidgets(),7,2,4,6
mindustry.ui.dialogs.FileChooser.updateFileFieldStatus(),3,1,3,3
mindustry.ui.dialogs.FileChooser.updateFiles(boolean),14,3,7,9
mindustry.ui.dialogs.FullTextDialog.FullTextDialog(),0,1,1,1
"mindustry.ui.dialogs.FullTextDialog.show(String, String)",0,1,1,1
mindustry.ui.dialogs.GameOverDialog.GameOverDialog(),0,1,1,1
"mindustry.ui.dialogs.GameOverDialog.StatLabel.StatLabel(String, int, float)",3,1,2,2
"mindustry.ui.dialogs.GameOverDialog.addStat(Table, String, int, float)",0,1,1,1
mindustry.ui.dialogs.GameOverDialog.rebuild(),26,1,11,12
mindustry.ui.dialogs.GameOverDialog.show(Team),2,1,2,2
mindustry.ui.dialogs.HostDialog.HostDialog(),8,2,5,6
mindustry.ui.dialogs.HostDialog.runHost(),13,1,7,8
mindustry.ui.dialogs.IconSelectDialog.IconSelectDialog(),0,1,1,1
mindustry.ui.dialogs.IconSelectDialog.IconSelectDialog(boolean),27,1,9,9
mindustry.ui.dialogs.IconSelectDialog.show(Intc),0,1,1,1
mindustry.ui.dialogs.JoinDialog.JoinDialog(),17,1,9,12
mindustry.ui.dialogs.JoinDialog.Server.Server(),0,1,1,1
mindustry.ui.dialogs.JoinDialog.Server.displayIP(),6,2,1,4
mindustry.ui.dialogs.JoinDialog.Server.setIP(String),6,1,7,8
"mindustry.ui.dialogs.JoinDialog.addCommunityHost(Host, Table)",6,2,3,4
"mindustry.ui.dialogs.JoinDialog.addHeader(Table[], ServerGroup, boolean, boolean, boolean)",26,2,5,13
mindustry.ui.dialogs.JoinDialog.addLocalHost(Host),2,1,3,3
"mindustry.ui.dialogs.JoinDialog.buildServer(Host, Table, boolean, boolean)",30,1,12,17
mindustry.ui.dialogs.JoinDialog.columns(),0,1,1,1
"mindustry.ui.dialogs.JoinDialog.connect(String, int)",4,2,3,3
mindustry.ui.dialogs.JoinDialog.fetchServers(),8,1,6,7
"mindustry.ui.dialogs.JoinDialog.fetchServers(String[], int)",14,5,3,7
mindustry.ui.dialogs.JoinDialog.finishLocalHosts(),2,1,2,2
mindustry.ui.dialogs.JoinDialog.getVersionString(Host),9,6,7,9
mindustry.ui.dialogs.JoinDialog.loadServers(),1,1,2,2
"mindustry.ui.dialogs.JoinDialog.moveRemote(Server, int)",6,3,3,5
mindustry.ui.dialogs.JoinDialog.parseServerString(String),10,1,6,6
mindustry.ui.dialogs.JoinDialog.reconnect(),7,4,2,5
mindustry.ui.dialogs.JoinDialog.refreshAll(),1,1,2,2
mindustry.ui.dialogs.JoinDialog.refreshCommunity(),37,5,18,22
mindustry.ui.dialogs.JoinDialog.refreshLocal(),0,1,1,1
mindustry.ui.dialogs.JoinDialog.refreshRemote(),1,1,2,2
mindustry.ui.dialogs.JoinDialog.refreshServer(Server),0,1,1,1
"mindustry.ui.dialogs.JoinDialog.safeConnect(String, int, int)",5,1,2,5
mindustry.ui.dialogs.JoinDialog.saveServers(),0,1,1,1
"mindustry.ui.dialogs.JoinDialog.section(String, Table, boolean)",9,1,2,4
mindustry.ui.dialogs.JoinDialog.setup(),2,1,2,3
mindustry.ui.dialogs.JoinDialog.setupRemote(),11,1,5,5
"mindustry.ui.dialogs.JoinDialog.setupServer(Server, Host)",0,1,1,1
mindustry.ui.dialogs.JoinDialog.targetWidth(),0,1,1,1
mindustry.ui.dialogs.KeybindDialog.KeybindDialog(),0,1,1,1
mindustry.ui.dialogs.KeybindDialog.addCloseButton(),3,1,2,3
mindustry.ui.dialogs.KeybindDialog.openDialog(KeyBind),5,3,2,4
"mindustry.ui.dialogs.KeybindDialog.rebind(KeyBind, KeyCode)",12,2,2,10
mindustry.ui.dialogs.KeybindDialog.rebuildBinds(),14,3,6,8
mindustry.ui.dialogs.LanguageDialog.LanguageDialog(),0,1,1,1
mindustry.ui.dialogs.LanguageDialog.findClosestLocale(),6,5,5,5
mindustry.ui.dialogs.LanguageDialog.getDisplayName(Locale),0,1,1,1
mindustry.ui.dialogs.LanguageDialog.getLocale(),6,1,5,5
mindustry.ui.dialogs.LanguageDialog.setup(),4,2,2,3
mindustry.ui.dialogs.LaunchLoadoutDialog.LaunchLoadoutDialog(),0,1,1,1
mindustry.ui.dialogs.LaunchLoadoutDialog.getMax(),0,1,1,1
mindustry.ui.dialogs.LaunchLoadoutDialog.setMax(boolean),0,1,1,1
"mindustry.ui.dialogs.LaunchLoadoutDialog.show(CoreBlock, Sector, Sector, Runnable)",77,4,29,33
mindustry.ui.dialogs.LoadDialog.LoadDialog(),0,1,1,1
mindustry.ui.dialogs.LoadDialog.LoadDialog(String),0,1,1,1
mindustry.ui.dialogs.LoadDialog.addSetup(),14,1,4,4
"mindustry.ui.dialogs.LoadDialog.modifyButton(TextButton, SaveSlot)",2,1,2,2
mindustry.ui.dialogs.LoadDialog.rebuild(),23,3,12,14
mindustry.ui.dialogs.LoadDialog.runLoadSave(SaveSlot),3,1,2,2
mindustry.ui.dialogs.LoadDialog.setup(),13,1,6,7
mindustry.ui.dialogs.LoadDialog.show(),2,1,3,3
mindustry.ui.dialogs.LoadoutDialog.LoadoutDialog(),5,1,3,4
mindustry.ui.dialogs.LoadoutDialog.maxItems(),3,1,3,3
mindustry.ui.dialogs.LoadoutDialog.reseed(),1,1,3,3
mindustry.ui.dialogs.LoadoutDialog.setup(),17,3,7,8
"mindustry.ui.dialogs.LoadoutDialog.show(int, ItemSeq, Seq<ItemStack>, Boolf<Item>, Runnable, Runnable, Runnable)",0,1,1,1
"mindustry.ui.dialogs.LoadoutDialog.show(int, Seq<ItemStack>, Boolf<Item>, Runnable, Runnable, Runnable)",0,1,1,1
mindustry.ui.dialogs.LoadoutDialog.step(int),4,4,1,4
"mindustry.ui.dialogs.MapListDialog.MapListDialog(String, boolean)",2,1,2,2
mindustry.ui.dialogs.MapListDialog.buildButtons(),0,1,1,1
mindustry.ui.dialogs.MapListDialog.rebuildMaps(),54,4,20,24
mindustry.ui.dialogs.MapListDialog.setup(),5,1,4,4
mindustry.ui.dialogs.MapListDialog.show(),2,1,3,3
mindustry.ui.dialogs.MapListDialog.showMapFilters(),14,1,4,4
mindustry.ui.dialogs.MapPlayDialog.MapPlayDialog(),2,1,2,2
mindustry.ui.dialogs.MapPlayDialog.displayGameModeHelp(),3,3,2,3
mindustry.ui.dialogs.MapPlayDialog.show(Map),0,1,1,1
"mindustry.ui.dialogs.MapPlayDialog.show(Map, boolean)",19,3,7,11
mindustry.ui.dialogs.ModsDialog.ModsDialog(),12,1,4,6
mindustry.ui.dialogs.ModsDialog.getModList(Cons<Seq<ModListing>>),0,1,1,1
"mindustry.ui.dialogs.ModsDialog.getModList(int, Cons<Seq<ModListing>>)",16,3,5,7
mindustry.ui.dialogs.ModsDialog.getStateDetails(LoadedMod),7,8,7,8
mindustry.ui.dialogs.ModsDialog.getStateText(LoadedMod),8,9,7,9
"mindustry.ui.dialogs.ModsDialog.githubImportBranch(String, String, String)",11,1,4,4
"mindustry.ui.dialogs.ModsDialog.githubImportJavaMod(String, String)",7,2,4,5
"mindustry.ui.dialogs.ModsDialog.githubImportMod(String, boolean)",0,1,1,1
"mindustry.ui.dialogs.ModsDialog.githubImportMod(String, boolean, String)",7,1,6,6
"mindustry.ui.dialogs.ModsDialog.handleMod(String, HttpResponse)",4,1,3,4
"mindustry.ui.dialogs.ModsDialog.importDependencies(Seq<String>, Runnable)",0,1,1,1
mindustry.ui.dialogs.ModsDialog.importFail(Throwable),0,1,1,1
mindustry.ui.dialogs.ModsDialog.modError(Throwable),8,1,9,9
mindustry.ui.dialogs.ModsDialog.rebuildBrowser(),102,3,19,25
mindustry.ui.dialogs.ModsDialog.setup(),112,1,23,27
mindustry.ui.dialogs.ModsDialog.showMod(LoadedMod),33,1,14,16
mindustry.ui.dialogs.ModsDialog.showModBrowser(),0,1,1,1
mindustry.ui.dialogs.PaletteDialog.PaletteDialog(),0,1,1,1
mindustry.ui.dialogs.PaletteDialog.build(),5,1,3,3
mindustry.ui.dialogs.PaletteDialog.show(Cons<Color>),0,1,1,1
mindustry.ui.dialogs.PausedDialog.PausedDialog(),2,1,3,3
mindustry.ui.dialogs.PausedDialog.checkPlaytest(),1,2,2,2
mindustry.ui.dialogs.PausedDialog.rebuild(),46,1,19,27
mindustry.ui.dialogs.PausedDialog.runExitSave(),8,4,10,11
mindustry.ui.dialogs.PausedDialog.showQuitConfirm(),2,1,2,2
mindustry.ui.dialogs.PlanetDialog.PlanetDialog(),42,4,16,25
"mindustry.ui.dialogs.PlanetDialog.abandonSectorConfirm(Sector, Runnable)",9,1,4,4
mindustry.ui.dialogs.PlanetDialog.act(float),44,1,20,26
mindustry.ui.dialogs.PlanetDialog.addBack(),0,1,1,1
"mindustry.ui.dialogs.PlanetDialog.addSurvivedInfo(Sector, Table, boolean)",14,1,7,12
mindustry.ui.dialogs.PlanetDialog.addTech(),0,1,1,1
mindustry.ui.dialogs.PlanetDialog.canSelect(Sector),13,6,13,17
mindustry.ui.dialogs.PlanetDialog.clampZoom(),0,1,1,1
"mindustry.ui.dialogs.PlanetDialog.displayItems(Table, float, ObjectMap<Item, ExportStat>, String)",0,1,1,1
"mindustry.ui.dialogs.PlanetDialog.displayItems(Table, float, ObjectMap<Item, ExportStat>, String, Cons<Table>)",9,3,5,6
mindustry.ui.dialogs.PlanetDialog.draw(),2,1,3,3
mindustry.ui.dialogs.PlanetDialog.findLauncher(Sector),3,2,1,4
"mindustry.ui.dialogs.PlanetDialog.getHoverPlanet(float, float)",4,1,5,5
mindustry.ui.dialogs.PlanetDialog.lookAt(Sector),1,2,1,2
"mindustry.ui.dialogs.PlanetDialog.lookAt(Sector, float)",0,1,1,1
mindustry.ui.dialogs.PlanetDialog.playSelected(),43,6,22,28
mindustry.ui.dialogs.PlanetDialog.rebuildButtons(),2,1,2,2
mindustry.ui.dialogs.PlanetDialog.rebuildExpand(),8,1,5,6
mindustry.ui.dialogs.PlanetDialog.rebuildList(),37,2,10,13
mindustry.ui.dialogs.PlanetDialog.renderOverProjections(Planet),47,1,23,28
mindustry.ui.dialogs.PlanetDialog.renderProjections(Planet),52,1,25,30
mindustry.ui.dialogs.PlanetDialog.renderSectors(Planet),44,1,16,19
mindustry.ui.dialogs.PlanetDialog.selectSector(Sector),0,1,1,1
mindustry.ui.dialogs.PlanetDialog.selectable(Planet),7,3,7,9
mindustry.ui.dialogs.PlanetDialog.setup(),111,4,30,45
mindustry.ui.dialogs.PlanetDialog.show(),9,2,13,14
mindustry.ui.dialogs.PlanetDialog.showOverview(),0,1,1,1
"mindustry.ui.dialogs.PlanetDialog.showPlanetLaunch(Sector, Seq<Planet>, Cons<Sector>)",5,1,3,5
"mindustry.ui.dialogs.PlanetDialog.showSelect(Sector, Cons<Sector>)",0,1,1,1
mindustry.ui.dialogs.PlanetDialog.showStats(Sector),53,3,19,23
mindustry.ui.dialogs.PlanetDialog.showing(),0,1,1,1
mindustry.ui.dialogs.PlanetDialog.updateSelected(),110,6,37,51
"mindustry.ui.dialogs.PlanetDialog.viewPlanet(Planet, boolean)",3,1,2,3
"mindustry.ui.dialogs.ResearchDialog.LayoutNode.LayoutNode(TechTreeNode, LayoutNode)",1,1,2,2
mindustry.ui.dialogs.ResearchDialog.ResearchDialog(),32,4,10,15
"mindustry.ui.dialogs.ResearchDialog.TechTreeNode.TechTreeNode(TechNode, TechTreeNode)",1,1,2,2
mindustry.ui.dialogs.ResearchDialog.View.canSpend(TechNode),7,5,4,7
mindustry.ui.dialogs.ResearchDialog.View.clamp(),0,1,1,1
mindustry.ui.dialogs.ResearchDialog.View.drawChildren(),20,5,6,10
mindustry.ui.dialogs.ResearchDialog.View.rebuild(),0,1,1,1
mindustry.ui.dialogs.ResearchDialog.View.rebuild(boolean[]),152,7,25,41
mindustry.ui.dialogs.ResearchDialog.View.rebuildAll(),56,3,19,27
mindustry.ui.dialogs.ResearchDialog.View.spend(TechNode),7,2,3,6
mindustry.ui.dialogs.ResearchDialog.View.unlock(TechNode),1,1,2,2
mindustry.ui.dialogs.ResearchDialog.checkMargin(),3,1,3,3
mindustry.ui.dialogs.ResearchDialog.checkNodes(TechTreeNode),6,1,2,6
mindustry.ui.dialogs.ResearchDialog.copyInfo(LayoutNode),4,1,3,3
mindustry.ui.dialogs.ResearchDialog.getPrefRoot(),4,1,2,4
mindustry.ui.dialogs.ResearchDialog.locked(TechNode),0,1,1,1
mindustry.ui.dialogs.ResearchDialog.rebuildItems(),16,2,8,9
mindustry.ui.dialogs.ResearchDialog.rebuildTree(TechNode),0,1,1,1
mindustry.ui.dialogs.ResearchDialog.selectable(TechNode),1,1,2,2
"mindustry.ui.dialogs.ResearchDialog.shift(LayoutNode[], float)",5,1,3,4
mindustry.ui.dialogs.ResearchDialog.switchTree(TechNode),2,2,1,3
mindustry.ui.dialogs.ResearchDialog.treeLayout(),4,3,3,4
mindustry.ui.dialogs.SaveDialog.SaveDialog(),3,1,3,3
mindustry.ui.dialogs.SaveDialog.addSetup(),0,1,1,1
"mindustry.ui.dialogs.SaveDialog.modifyButton(TextButton, SaveSlot)",2,2,1,2
mindustry.ui.dialogs.SaveDialog.save(SaveSlot),2,1,2,2
mindustry.ui.dialogs.SchematicsDialog.SchematicImage.SchematicImage(Schematic),1,1,2,2
mindustry.ui.dialogs.SchematicsDialog.SchematicImage.draw(),7,1,5,7
mindustry.ui.dialogs.SchematicsDialog.SchematicImage.setPreview(),0,1,1,1
mindustry.ui.dialogs.SchematicsDialog.SchematicInfoDialog.SchematicInfoDialog(),0,1,1,1
mindustry.ui.dialogs.SchematicsDialog.SchematicInfoDialog.show(Schematic),27,2,11,14
mindustry.ui.dialogs.SchematicsDialog.SchematicsDialog(),0,1,1,1
"mindustry.ui.dialogs.SchematicsDialog.addTag(Schematic, String)",0,1,1,1
"mindustry.ui.dialogs.SchematicsDialog.buildTags(Schematic, Table)",0,1,1,1
"mindustry.ui.dialogs.SchematicsDialog.buildTags(Schematic, Table, boolean)",28,3,6,8
mindustry.ui.dialogs.SchematicsDialog.checkTags(),6,1,4,4
mindustry.ui.dialogs.SchematicsDialog.checkTags(Schematic),4,1,4,4
"mindustry.ui.dialogs.SchematicsDialog.removeTag(Schematic, String)",0,1,1,1
mindustry.ui.dialogs.SchematicsDialog.setup(),88,5,20,24
mindustry.ui.dialogs.SchematicsDialog.show(),2,1,3,3
mindustry.ui.dialogs.SchematicsDialog.showAllTags(),84,2,11,13
mindustry.ui.dialogs.SchematicsDialog.showEdit(Schematic),3,1,3,3
mindustry.ui.dialogs.SchematicsDialog.showExport(Schematic),4,1,3,3
mindustry.ui.dialogs.SchematicsDialog.showImport(),13,1,5,5
mindustry.ui.dialogs.SchematicsDialog.showInfo(Schematic),0,1,1,1
mindustry.ui.dialogs.SchematicsDialog.showNewIconTag(Cons<String>),33,6,9,11
mindustry.ui.dialogs.SchematicsDialog.showNewTag(Cons<String>),3,1,2,2
mindustry.ui.dialogs.SchematicsDialog.tagsChanged(),1,1,2,2
mindustry.ui.dialogs.SectorSelectDialog.SectorSelectDialog(),3,1,2,2
"mindustry.ui.dialogs.SectorSelectDialog.matches(SectorPreset, String)",2,1,5,5
